May 2025

Driven_distance:
 Rank    User ID Username                  Driven_distance      Nickname                                
  52.       3895 Piggy501                               50      [TC] ›Nick‹                             
  53.      29189 cetink.                                49      [ RDSR ] Fearr                          
  54.      42979 firatrobert_07                         49      [PACT] Robert [G29]                     
  55.      44378 theshadowxps                           49      The Shadow XPS                          
  56.      40647 wolf135                                49      CERTI DRIVERS                           
  57.      47234 racing_online_ang                      48      Á n g_ ra c er                          
  58.      31311 zgrywus1908                            48      [ KTS ] Zgryw[RES]                      
  59.      40746 solomanlane                            48      ㄔ Alperen                               
  60.      10040 vdubclubz                              48      Mマ. Volks                               
  61.       1238 Rascar13                               47      [TC]›Ras‹ [VCU]                         
  62.      39472 map_top                                46      ηgμ ｫ maptop                            
  63.      12477 mikebez                                46      [TC] ›Bez‹ [COP]                        
  64.      47384 halisbjk28                             45      Execute                                 
  65.      45712 muhammettskn34                         45      #52 M. Taşkın                           
  66.      41796 countess                               44      [PACT] Countess                         
  67.      42729 street_stars                           44      Bad Driver                              
  68.       3245 [OD]Jardim                             43      ｢O K｣ Jardim                            
  69.      45905 sezerbey23                             43      Smash                                   
  70.      29964 viktors3232                            43      • ‹Redﾉ KaS0Y                           
  71.      42004 tdiahmet_                              43      tdiªhmet                                
  72.      44395 006s                                   42      βч. Azi Z                               
  73.      26468 shadowfast                             42      [6S] Hakou                              
  74.      33123 thegamer147                            42      [ RDSR ] Carlos                         
  75.      45499 espen45                                42      olihol27                                
  76.      47360 rexy747                                42      mr cheese                               
  77.      47376 evari albo                             42      EVARI [ EE ]                            
  78.      47272 staarmaakas                            42      karkai nuia                             
  79.      47320 yakuza19                               41      PoleStar                                
  80.      41871 emrecansmsk                            41      ( F F ) Emre.C                          
  81.      13401 GT4_PL                                 41      G T 4 t u b e                           
  82.      40391 plkrk                                  41      ( F F ) LADA                            
  83.      44249 ionicaa                                40      ionicaa G27                             
  84.      45902 dravens                                40      °S4CE | Ere Not                         
  85.      33967 esperanto_ch                           39      x3w 4u 0ux                              
  86.      40388 kramer84                               39      Kramer84                                
  87.      42795 acidboy                                39      ηgμ ｫ adac[MED]                         
  88.      37136 sensizim02                             39      ＧＴＣゑNaughty                             
  89.      47416 ethereum                               39      aminae                                  
  90.      40408 deagle762                              38      Ｄｅａｇｌｅ ﾑ                                
  91.      46021 aligamingarabic                        38      R L • AliGaming                         
  92.      47268 mertcanugr                             38      ShaW (T300RSGT)                         
  93.      40361 cocusz                                 37      COCUSZ G25                              
  94.      43471 hkuzucu06                              37      Hüseyin K.                              
  95.      44487 shadow3                                37      ReeP (G29)                              
  96.      45862 curlin                                 36      [ STANCE GUY ]                          
  97.      45351 mrconfidence                           36      WhiteLine License                       
  98.      46575 claudio_cc                             36      Caudo                                   
  99.      28654 mbt                                    36      ｢O K｣ мвт                               
 100.      47312 xxxmrn                                 36      Enes.K                                  

Sent_Money:
 Rank    User ID Username                       Sent_Money      Nickname                                
--------------------------------------------------------------------------------------------------------
   1.      39516 mehmetgulec                       500,100      ηgμ ｫ japon                             
   2.      45913 whatalife                           9,020      whatalife                               
   3.      45440 buntidondo                          8,316      [PACT] Ahmed                            
   4.      46757 snst                                7,448      [ ﾏ ] SNSﾞ                              
   5.      22662 bowler                              7,197      [PACT] Ganji [COP]                      
   6.      36991 forthe                              6,530      [COP] βч For T                          
   7.      43444 slyvute                             6,430      [PACT] Traxyss                          
   8.      12846 DJmad                               5,042      insurance fraud.                        
   9.      35012 badkapp62                           5,000      Redﾉ Badkapp                            
  10.      41376 glenn quagmire                      4,444      Glenn Quagmire                          
  11.      30172 robo1990                            4,399      dﾞ [COP]ﾏ` ROBO                         
  12.      45351 mrconfidence                        4,100      WhiteLine License                       
  13.      45905 sezerbey23                          4,060      Smash                                   
  14.      23031 ali_dk                              3,757      Meysam                                  
  15.      40866 01alperen001                        3,572      [ RDSR ] Ali                            
  16.      37942 isaac68ea                           3,568      Redﾉ Newton, Isaac                      
  17.       1341 Nathan_French_14                    3,553      Moo . Frenchy                           
  18.      20375 notsosideways                       3,425      [TC-G] Blacktop                         
  19.      36092 thesevenofclubs                     3,050      [6S] Anansi                             
  20.      40112 vladutz_                            2,941      cyrex                                   
  21.      29421 patryk1967                          2,850      [TC] ›Wilczek‹                          
  22.      24859 thuglife_                           2,835      Redﾉ Kaiku                              
  23.      44610 hasan0602                           2,765      Swim> lewis                             
  24.      42795 acidboy                             2,560      ηgμ ｫ adac[MED]                         
  25.       3245 [OD]Jardim                          2,506      ｢O K｣ Jardim                            
  26.      22858 gaga5555                            2,500      R U S FSB                               
  27.       3895 Piggy501                            2,403      [TC] ›Nick‹                             
  28.      31311 zgrywus1908                         2,400      [ KTS ] Zgryw[RES]                      
  29.      46415 aleksis1                            2,400      [P R ] MarizzP                          
  30.      39866 duno                                2,290      Duno                                    
  31.      40391 plkrk                               2,199      ( F F ) LADA                            
  32.      46087 yetkinbaba                          2,173      Redﾉ Lancer                             
  33.      45902 dravens                             2,145      °S4CE | Ere Not                         
  34.      41346 tkgx                                2,069      TKGX                                    
  35.      45504 matutkruse                          2,000      Matut                                   
  36.      34434 senna.0213                          1,930      Commander Senna [COP]                   
  37.      29189 cetink.                             1,885      [ RDSR ] Fearr                          
  38.      25589 jorks                               1,850      Dorks ™                                 
  39.      43548 suskun068                           1,800      Swim> TopRat                            
  40.      44045 sirac.54_                           1,766      [PACT] Muffin                           
  41.      25995 gorkema67                           1,640      [COP] -dr                               
  42.      38014 batekris07                          1,633      •FG• Kris4o                             
  43.      45026 gtaplay                             1,519      ＰＩＬＯＴ                                   
  44.      46021 aligamingarabic                     1,511      R L • AliGaming                         
  45.      42783 e n s                               1,500      E N S                                   
  46.      39867 racing101                           1,500      SMOKEY                                  
  47.      47376 evari albo                          1,500      EVARI [ EE ]                            
  48.      41544 yasso7up                            1,499      tBug                                    
  49.      42816 fastranker1                         1,467      [CSR] Yunos                             
  50.      43853 miltontfsi                          1,450      KodiWildDog                             
  51.      29892 xseap-on                            1,418      e mirﾞ 99                               
  52.      47245 anti0505                            1,400      Sleper (G29)                            
  53.      37136 sensizim02                          1,392      ＧＴＣゑNaughty                             
  54.      44198 febrix                              1,350      Redﾉ FebriX                             
  55.      28892 ibtasim6781                         1,337      ghutra                                  
  56.       7500 silverracer                         1,334      Silver                                  
  57.      43034 kadirarslann                        1,320      E55 Kompressor                          
  58.      18075 sean_drifter                        1,257      Redﾉ SeanProd .TV                       
  59.      23496 p.h.d_gonapus                       1,223      вıggı                                   
  60.      40659 cgtyksy55                           1,221      Redﾉ CCTV                               
  61.      30093 thatyorkshireman                    1,200      [TC] ›Yung‹                             
  62.      27785 sir elton john                      1,200      [TC] ›Chaz‹ [VCU]                       
  63.      40647 wolf135                             1,200      CERTI DRIVERS                           
  64.      31802 loganhenry                          1,197      [CSR] Logan                             
  65.      44315 epicproes                           1,130      ｢O K｣ Epicproes                         
  66.      12477 mikebez                             1,100      [TC] ›Bez‹ [COP]                        
  67.      29988 xx_huguinho753_xx                   1,050      hg                                      
  68.      35257 inacio_block                        1,050      V M . Thunder                           
  69.      28654 mbt                                 1,031      ｢O K｣ мвт                               
  70.      44300 surungentofs                        1,001      ＧＴＣ ゑ sharp.                            
  71.      26457 rb26dettlove                        1,000      Ｕｋｒ４ｉＮ                                  
  72.      38050 kumail                              1,000      [TC] ›Kumail‹                           
  73.      38737 balintka1234                        1,000      G umifüst R acing                       
  74.      32486 x t                                   900      xт [COP]                                
  75.      42343 bigdoa                                900      み Npoh                                  
  76.      43471 hkuzucu06                             900      Hüseyin K.                              
  77.      41796 countess                              900      [PACT] Countess                         
  78.      30933 kentwolf                              850      [6S] February                           
  79.      40818 dmrzn                                 800      [6S] Dmrzn                              
  80.      16185 turb0keule                            771      [TOW] Keule                             
  81.      41889 eymen75                               750      [COP] Emre Bulut                        
  82.      22001 lavezzi                               729      Panda selling insim                     
  83.      37317 bayanofmansorofisky                   714      Redﾉ BM                                 
